epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,5455.55,1.42744,0.92493,0.89531,0.73537,0.59033,0.65624,0.45218,1.47451,0.92823,0.90245,7.18536e-05,7.18536e-05,7.18536e-05
135,5521.44,1.46225,0.93599,0.8978,0.72925,0.59302,0.65056,0.44947,1.47163,0.93227,0.90137,6.79728e-05,6.79728e-05,6.79728e-05
136,5560.53,1.44683,0.93168,0.89702,0.74765,0.58424,0.65523,0.45878,1.46219,0.91997,0.90112,6.4092e-05,6.4092e-05,6.4092e-05
137,5587.87,1.42641,0.91676,0.89058,0.72236,0.58689,0.65218,0.4511,1.46395,0.92302,0.90127,6.02112e-05,6.02112e-05,6.02112e-05
138,5616.77,1.46097,0.93247,0.8947,0.74114,0.58944,0.65628,0.4566,1.45915,0.91691,0.8997,5.63304e-05,5.63304e-05,5.63304e-05
139,5649.6,1.4344,0.92019,0.8919,0.73602,0.59243,0.65508,0.45537,1.46143,0.91329,0.90027,5.24496e-05,5.24496e-05,5.24496e-05
140,5679.57,1.43621,0.91565,0.89386,0.73745,0.58816,0.65423,0.45395,1.47355,0.9202,0.90111,4.85688e-05,4.85688e-05,4.85688e-05
141,5730.28,1.491,0.96358,0.89698,0.71434,0.58689,0.64233,0.44967,1.49014,0.95265,0.90738,4.4688e-05,4.4688e-05,4.4688e-05
142,5756.91,1.46572,0.94542,0.89399,0.71626,0.58572,0.63974,0.44695,1.47266,0.96014,0.90489,4.08072e-05,4.08072e-05,4.08072e-05
143,5795,1.46042,0.93675,0.89286,0.69489,0.59345,0.64642,0.45251,1.46897,0.94856,0.90321,3.69264e-05,3.69264e-05,3.69264e-05
144,5836.57,1.45512,0.92848,0.88979,0.69869,0.59452,0.64577,0.45186,1.46889,0.9487,0.90343,3.30456e-05,3.30456e-05,3.30456e-05
145,5867.01,1.46275,0.93452,0.88798,0.70959,0.59137,0.64771,0.45493,1.46447,0.94376,0.9024,2.91648e-05,2.91648e-05,2.91648e-05
146,5890.04,1.44208,0.91035,0.88769,0.70838,0.59593,0.64788,0.45579,1.4664,0.94029,0.90194,2.5284e-05,2.5284e-05,2.5284e-05
147,5916.91,1.44246,0.91673,0.88683,0.69597,0.59529,0.64576,0.45192,1.47152,0.93918,0.90173,2.14032e-05,2.14032e-05,2.14032e-05
148,5950.28,1.44088,0.91648,0.89121,0.7246,0.58787,0.64954,0.45356,1.46681,0.93758,0.90125,1.75224e-05,1.75224e-05,1.75224e-05
149,5978.09,1.42056,0.90257,0.88785,0.71545,0.58372,0.64675,0.45329,1.46399,0.93941,0.9007,1.36416e-05,1.36416e-05,1.36416e-05
150,6011.01,1.44397,0.91526,0.8895,0.72576,0.58385,0.64832,0.45347,1.47006,0.93874,0.90168,9.7608e-06,9.7608e-06,9.7608e-06
